Model,Molecule,Run,Config,Criterion,Score
claude_opus4.6,Arginine,1,deep_research_claude,Chemical Feasibility,9
claude_opus4.6,Arginine,1,deep_research_claude,Pathway Coherence,9
claude_opus4.6,Arginine,1,deep_research_claude,Environmental Consistency,9
claude_opus4.6,Arginine,1,deep_research_claude,Mechanistic Detail,8
claude_opus4.6,Arginine,1,deep_research_claude,Network Completeness,9
claude_opus4.6,Arginine,1,deep_research_claude,Prebiotic Plausibility,9
claude_opus4.6,Arginine,1,deep_research_claude,Novelty of Reactions,8
claude_opus4.6,Arginine,1,deep_research_claude,Total,61
claude_opus4.6,Arginine,1,deep_research_gemini,Chemical Feasibility,9
claude_opus4.6,Arginine,1,deep_research_gemini,Pathway Coherence,9
claude_opus4.6,Arginine,1,deep_research_gemini,Environmental Consistency,9
claude_opus4.6,Arginine,1,deep_research_gemini,Mechanistic Detail,10
claude_opus4.6,Arginine,1,deep_research_gemini,Network Completeness,9
claude_opus4.6,Arginine,1,deep_research_gemini,Prebiotic Plausibility,9
claude_opus4.6,Arginine,1,deep_research_gemini,Novelty of Reactions,9
claude_opus4.6,Arginine,1,deep_research_gemini,Total,64
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Chemical Feasibility,4
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Pathway Coherence,5
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Environmental Consistency,8
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Mechanistic Detail,6
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Network Completeness,7
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Prebiotic Plausibility,6
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Novelty of Reactions,6
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Total,42
claude_opus4.6,Arginine,1,perfect_rag,Chemical Feasibility,10
claude_opus4.6,Arginine,1,perfect_rag,Pathway Coherence,10
claude_opus4.6,Arginine,1,perfect_rag,Environmental Consistency,9
claude_opus4.6,Arginine,1,perfect_rag,Mechanistic Detail,10
claude_opus4.6,Arginine,1,perfect_rag,Network Completeness,9
claude_opus4.6,Arginine,1,perfect_rag,Prebiotic Plausibility,10
claude_opus4.6,Arginine,1,perfect_rag,Novelty of Reactions,8
claude_opus4.6,Arginine,1,perfect_rag,Total,66
claude_opus4.6,Arginine,1,no_research,Chemical Feasibility,10
claude_opus4.6,Arginine,1,no_research,Pathway Coherence,10
claude_opus4.6,Arginine,1,no_research,Environmental Consistency,9
claude_opus4.6,Arginine,1,no_research,Mechanistic Detail,10
claude_opus4.6,Arginine,1,no_research,Network Completeness,10
claude_opus4.6,Arginine,1,no_research,Prebiotic Plausibility,10
claude_opus4.6,Arginine,1,no_research,Novelty of Reactions,10
claude_opus4.6,Arginine,1,no_research,Total,69
claude_opus4.6,Arginine,1,Naive,Chemical Feasibility,1
claude_opus4.6,Arginine,1,Naive,Pathway Coherence,2
claude_opus4.6,Arginine,1,Naive,Environmental Consistency,3
claude_opus4.6,Arginine,1,Naive,Mechanistic Detail,2
claude_opus4.6,Arginine,1,Naive,Network Completeness,3
claude_opus4.6,Arginine,1,Naive,Prebiotic Plausibility,2
claude_opus4.6,Arginine,1,Naive,Novelty of Reactions,2
claude_opus4.6,Arginine,1,Naive,Total,15
claude_opus4.6,Arginine,2,deep_research_claude,Chemical Feasibility,3
claude_opus4.6,Arginine,2,deep_research_claude,Pathway Coherence,4
claude_opus4.6,Arginine,2,deep_research_claude,Environmental Consistency,7
claude_opus4.6,Arginine,2,deep_research_claude,Mechanistic Detail,5
claude_opus4.6,Arginine,2,deep_research_claude,Network Completeness,6
claude_opus4.6,Arginine,2,deep_research_claude,Prebiotic Plausibility,5
claude_opus4.6,Arginine,2,deep_research_claude,Novelty of Reactions,4
claude_opus4.6,Arginine,2,deep_research_claude,Total,34
claude_opus4.6,Arginine,2,deep_research_gemini,Chemical Feasibility,7
claude_opus4.6,Arginine,2,deep_research_gemini,Pathway Coherence,8
claude_opus4.6,Arginine,2,deep_research_gemini,Environmental Consistency,8
claude_opus4.6,Arginine,2,deep_research_gemini,Mechanistic Detail,6
claude_opus4.6,Arginine,2,deep_research_gemini,Network Completeness,8
claude_opus4.6,Arginine,2,deep_research_gemini,Prebiotic Plausibility,8
claude_opus4.6,Arginine,2,deep_research_gemini,Novelty of Reactions,6
claude_opus4.6,Arginine,2,deep_research_gemini,Total,51
claude_opus4.6,Arginine,2,deep_research_gpt5.4,Chemical Feasibility,4
claude_opus4.6,Arginine,2,deep_research_gpt5.4,Pathway Coherence,5
claude_opus4.6,Arginine,2,deep_research_gpt5.4,Environmental Consistency,8
claude_opus4.6,Arginine,2,deep_research_gpt5.4,Mechanistic Detail,6
claude_opus4.6,Arginine,2,deep_research_gpt5.4,Network Completeness,8
claude_opus4.6,Arginine,2,deep_research_gpt5.4,Prebiotic Plausibility,7
claude_opus4.6,Arginine,2,deep_research_gpt5.4,Novelty of Reactions,6
claude_opus4.6,Arginine,2,deep_research_gpt5.4,Total,44
claude_opus4.6,Arginine,2,perfect_rag,Chemical Feasibility,9
claude_opus4.6,Arginine,2,perfect_rag,Pathway Coherence,10
claude_opus4.6,Arginine,2,perfect_rag,Environmental Consistency,8
claude_opus4.6,Arginine,2,perfect_rag,Mechanistic Detail,9
claude_opus4.6,Arginine,2,perfect_rag,Network Completeness,9
claude_opus4.6,Arginine,2,perfect_rag,Prebiotic Plausibility,9
claude_opus4.6,Arginine,2,perfect_rag,Novelty of Reactions,7
claude_opus4.6,Arginine,2,perfect_rag,Total,61
claude_opus4.6,Arginine,2,no_research,Chemical Feasibility,10
claude_opus4.6,Arginine,2,no_research,Pathway Coherence,10
claude_opus4.6,Arginine,2,no_research,Environmental Consistency,9
claude_opus4.6,Arginine,2,no_research,Mechanistic Detail,9
claude_opus4.6,Arginine,2,no_research,Network Completeness,10
claude_opus4.6,Arginine,2,no_research,Prebiotic Plausibility,9
claude_opus4.6,Arginine,2,no_research,Novelty of Reactions,10
claude_opus4.6,Arginine,2,no_research,Total,67
claude_opus4.6,Arginine,2,Naive,Chemical Feasibility,2
claude_opus4.6,Arginine,2,Naive,Pathway Coherence,3
claude_opus4.6,Arginine,2,Naive,Environmental Consistency,5
