Molecule,Run,Config,Criterion,Score
Arginine,1,A,Chemical Feasibility,8
Arginine,1,A,Pathway Coherence,8
Arginine,1,A,Environmental Consistency,8
Arginine,1,A,Mechanistic Detail,7
Arginine,1,A,Network Completeness,8
Arginine,1,A,Prebiotic Plausibility,8
Arginine,1,A,Novelty of Reactions,8
Arginine,1,A,Total,55
Arginine,1,B,Chemical Feasibility,9
Arginine,1,B,Pathway Coherence,9
Arginine,1,B,Environmental Consistency,9
Arginine,1,B,Mechanistic Detail,9
Arginine,1,B,Network Completeness,9
Arginine,1,B,Prebiotic Plausibility,9
Arginine,1,B,Novelty of Reactions,9
Arginine,1,B,Total,63
Arginine,1,C,Chemical Feasibility,9
Arginine,1,C,Pathway Coherence,8
Arginine,1,C,Environmental Consistency,8
Arginine,1,C,Mechanistic Detail,8
Arginine,1,C,Network Completeness,7
Arginine,1,C,Prebiotic Plausibility,9
Arginine,1,C,Novelty of Reactions,5
Arginine,1,C,Total,54
Arginine,1,D,Chemical Feasibility,9
Arginine,1,D,Pathway Coherence,9
Arginine,1,D,Environmental Consistency,8
Arginine,1,D,Mechanistic Detail,10
Arginine,1,D,Network Completeness,8
Arginine,1,D,Prebiotic Plausibility,9
Arginine,1,D,Novelty of Reactions,8
Arginine,1,D,Total,61
Arginine,1,E,Chemical Feasibility,3
Arginine,1,E,Pathway Coherence,7
Arginine,1,E,Environmental Consistency,6
Arginine,1,E,Mechanistic Detail,6
Arginine,1,E,Network Completeness,7
Arginine,1,E,Prebiotic Plausibility,3
Arginine,1,E,Novelty of Reactions,6
Arginine,1,E,Total,38
Arginine,1,F,Chemical Feasibility,2
Arginine,1,F,Pathway Coherence,4
Arginine,1,F,Environmental Consistency,4
Arginine,1,F,Mechanistic Detail,2
Arginine,1,F,Network Completeness,4
Arginine,1,F,Prebiotic Plausibility,2
Arginine,1,F,Novelty of Reactions,2
Arginine,1,F,Total,20
Arginine,2,A,Chemical Feasibility,8
Arginine,2,A,Pathway Coherence,8
Arginine,2,A,Environmental Consistency,8
Arginine,2,A,Mechanistic Detail,8
Arginine,2,A,Network Completeness,8
Arginine,2,A,Prebiotic Plausibility,9
Arginine,2,A,Novelty of Reactions,6
Arginine,2,A,Total,55
Arginine,2,B,Chemical Feasibility,9
Arginine,2,B,Pathway Coherence,9
Arginine,2,B,Environmental Consistency,9
Arginine,2,B,Mechanistic Detail,9
Arginine,2,B,Network Completeness,9
Arginine,2,B,Prebiotic Plausibility,9
Arginine,2,B,Novelty of Reactions,8
Arginine,2,B,Total,62
Arginine,2,C,Chemical Feasibility,9
Arginine,2,C,Pathway Coherence,8
Arginine,2,C,Environmental Consistency,8
Arginine,2,C,Mechanistic Detail,8
Arginine,2,C,Network Completeness,7
Arginine,2,C,Prebiotic Plausibility,9
Arginine,2,C,Novelty of Reactions,5
Arginine,2,C,Total,54
Arginine,2,D,Chemical Feasibility,9
Arginine,2,D,Pathway Coherence,8
Arginine,2,D,Environmental Consistency,8
Arginine,2,D,Mechanistic Detail,10
Arginine,2,D,Network Completeness,8
Arginine,2,D,Prebiotic Plausibility,9
Arginine,2,D,Novelty of Reactions,7
Arginine,2,D,Total,59
Arginine,2,E,Chemical Feasibility,5
Arginine,2,E,Pathway Coherence,9
Arginine,2,E,Environmental Consistency,8
Arginine,2,E,Mechanistic Detail,7
Arginine,2,E,Network Completeness,9
Arginine,2,E,Prebiotic Plausibility,5
Arginine,2,E,Novelty of Reactions,9
Arginine,2,E,Total,52
Arginine,2,F,Chemical Feasibility,4
Arginine,2,F,Pathway Coherence,6
Arginine,2,F,Environmental Consistency,5
Arginine,2,F,Mechanistic Detail,3
Arginine,2,F,Network Completeness,4
Arginine,2,F,Prebiotic Plausibility,4
Arginine,2,F,Novelty of Reactions,4
Arginine,2,F,Total,30
Arginine,3,A,Chemical Feasibility,8
Arginine,3,A,Pathway Coherence,8
Arginine,3,A,Environmental Consistency,8
Arginine,3,A,Mechanistic Detail,7
Arginine,3,A,Network Completeness,8
Arginine,3,A,Prebiotic Plausibility,8
Arginine,3,A,Novelty of Reactions,7
Arginine,3,A,Total,54
Arginine,3,B,Chemical Feasibility,9
Arginine,3,B,Pathway Coherence,9
Arginine,3,B,Environmental Consistency,9
Arginine,3,B,Mechanistic Detail,9
Arginine,3,B,Network Completeness,9
Arginine,3,B,Prebiotic Plausibility,10
Arginine,3,B,Novelty of Reactions,9
Arginine,3,B,Total,64
Arginine,3,C,Chemical Feasibility,8
Arginine,3,C,Pathway Coherence,8
Arginine,3,C,Environmental Consistency,8
Arginine,3,C,Mechanistic Detail,8
Arginine,3,C,Network Completeness,7
Arginine,3,C,Prebiotic Plausibility,8
Arginine,3,C,Novelty of Reactions,7
Arginine,3,C,Total,54
Arginine,3,D,Chemical Feasibility,9
Arginine,3,D,Pathway Coherence,9
Arginine,3,D,Environmental Consistency,8
Arginine,3,D,Mechanistic Detail,10
Arginine,3,D,Network Completeness,8
Arginine,3,D,Prebiotic Plausibility,9
Arginine,3,D,Novelty of Reactions,8
Arginine,3,D,Total,61
Arginine,3,E,Chemical Feasibility,4
Arginine,3,E,Pathway Coherence,8
Arginine,3,E,Environmental Consistency,7
Arginine,3,E,Mechanistic Detail,5
Arginine,3,E,Network Completeness,8
Arginine,3,E,Prebiotic Plausibility,5
Arginine,3,E,Novelty of Reactions,9
Arginine,3,E,Total,46
Arginine,3,F,Chemical Feasibility,3
Arginine,3,F,Pathway Coherence,5
Arginine,3,F,Environmental Consistency,4
Arginine,3,F,Mechanistic Detail,2
Arginine,3,F,Network Completeness,4
Arginine,3,F,Prebiotic Plausibility,2
Arginine,3,F,Novelty of Reactions,2
Arginine,3,F,Total,22
Arginine,4,A,Chemical Feasibility,8
Arginine,4,A,Pathway Coherence,8
Arginine,4,A,Environmental Consistency,8
Arginine,4,A,Mechanistic Detail,7
Arginine,4,A,Network Completeness,8
Arginine,4,A,Prebiotic Plausibility,8
Arginine,4,A,Novelty of Reactions,7
Arginine,4,A,Total,54
Arginine,4,B,Chemical Feasibility,9
Arginine,4,B,Pathway Coherence,9
Arginine,4,B,Environmental Consistency,9
Arginine,4,B,Mechanistic Detail,9
Arginine,4,B,Network Completeness,9
Arginine,4,B,Prebiotic Plausibility,10
Arginine,4,B,Novelty of Reactions,9
Arginine,4,B,Total,64
Arginine,4,C,Chemical Feasibility,8
Arginine,4,C,Pathway Coherence,8
Arginine,4,C,Environmental Consistency,8
Arginine,4,C,Mechanistic Detail,8
Arginine,4,C,Network Completeness,7
Arginine,4,C,Prebiotic Plausibility,8
Arginine,4,C,Novelty of Reactions,6
Arginine,4,C,Total,53
Arginine,4,D,Chemical Feasibility,9
Arginine,4,D,Pathway Coherence,9
Arginine,4,D,Environmental Consistency,8
Arginine,4,D,Mechanistic Detail,10
Arginine,4,D,Network Completeness,7
Arginine,4,D,Prebiotic Plausibility,9
Arginine,4,D,Novelty of Reactions,8
Arginine,4,D,Total,60
Arginine,4,E,Chemical Feasibility,4
Arginine,4,E,Pathway Coherence,7
Arginine,4,E,Environmental Consistency,6
Arginine,4,E,Mechanistic Detail,6
Arginine,4,E,Network Completeness,8
Arginine,4,E,Prebiotic Plausibility,3
Arginine,4,E,Novelty of Reactions,5
Arginine,4,E,Total,39
Arginine,4,F,Chemical Feasibility,3
Arginine,4,F,Pathway Coherence,4
Arginine,4,F,Environmental Consistency,4
Arginine,4,F,Mechanistic Detail,2
Arginine,4,F,Network Completeness,3
Arginine,4,F,Prebiotic Plausibility,3
Arginine,4,F,Novelty of Reactions,2
Arginine,4,F,Total,21
Arginine,5,A,Chemical Feasibility,8
Arginine,5,A,Pathway Coherence,8
Arginine,5,A,Environmental Consistency,9
Arginine,5,A,Mechanistic Detail,8
Arginine,5,A,Network Completeness,8
Arginine,5,A,Prebiotic Plausibility,9
Arginine,5,A,Novelty of Reactions,8
Arginine,5,A,Total,58
Arginine,5,B,Chemical Feasibility,8
Arginine,5,B,Pathway Coherence,9
Arginine,5,B,Environmental Consistency,9
Arginine,5,B,Mechanistic Detail,9
Arginine,5,B,Network Completeness,9
Arginine,5,B,Prebiotic Plausibility,9
Arginine,5,B,Novelty of Reactions,9
Arginine,5,B,Total,62
Arginine,5,C,Chemical Feasibility,8
Arginine,5,C,Pathway Coherence,7
Arginine,5,C,Environmental Consistency,8
Arginine,5,C,Mechanistic Detail,8
Arginine,5,C,Network Completeness,7
Arginine,5,C,Prebiotic Plausibility,8
Arginine,5,C,Novelty of Reactions,7
Arginine,5,C,Total,53
Arginine,5,D,Chemical Feasibility,9
Arginine,5,D,Pathway Coherence,9
Arginine,5,D,Environmental Consistency,8
Arginine,5,D,Mechanistic Detail,10
Arginine,5,D,Network Completeness,8
Arginine,5,D,Prebiotic Plausibility,9
Arginine,5,D,Novelty of Reactions,9
Arginine,5,D,Total,62
Arginine,5,E,Chemical Feasibility,5
Arginine,5,E,Pathway Coherence,7
Arginine,5,E,Environmental Consistency,8
Arginine,5,E,Mechanistic Detail,5
Arginine,5,E,Network Completeness,8
Arginine,5,E,Prebiotic Plausibility,4
Arginine,5,E,Novelty of Reactions,6
Arginine,5,E,Total,43
Arginine,5,F,Chemical Feasibility,4
Arginine,5,F,Pathway Coherence,5
Arginine,5,F,Environmental Consistency,3
Arginine,5,F,Mechanistic Detail,3
Arginine,5,F,Network Completeness,4
Arginine,5,F,Prebiotic Plausibility,3
Arginine,5,F,Novelty of Reactions,3
Arginine,5,F,Total,25
Asparagine,1,A,Chemical Feasibility,9
Asparagine,1,A,Pathway Coherence,9
Asparagine,1,A,Environmental Consistency,8
Asparagine,1,A,Mechanistic Detail,9
Asparagine,1,A,Network Completeness,10
Asparagine,1,A,Prebiotic Plausibility,10
Asparagine,1,A,Novelty of Reactions,7
Asparagine,1,A,Total,62
Asparagine,2,A,Chemical Feasibility,9
Asparagine,2,A,Pathway Coherence,8
Asparagine,2,A,Environmental Consistency,9
Asparagine,2,A,Mechanistic Detail,9
Asparagine,2,A,Network Completeness,9
Asparagine,2,A,Prebiotic Plausibility,10
Asparagine,2,A,Novelty of Reactions,9
Asparagine,2,A,Total,63
Asparagine,3,A,Chemical Feasibility,8
Asparagine,3,A,Pathway Coherence,9
Asparagine,3,A,Environmental Consistency,8
Asparagine,3,A,Mechanistic Detail,8
Asparagine,3,A,Network Completeness,9
Asparagine,3,A,Prebiotic Plausibility,9
Asparagine,3,A,Novelty of Reactions,9
Asparagine,3,A,Total,60
Asparagine,4,A,Chemical Feasibility,9
Asparagine,4,A,Pathway Coherence,9
Asparagine,4,A,Environmental Consistency,9
Asparagine,4,A,Mechanistic Detail,9
Asparagine,4,A,Network Completeness,10
Asparagine,4,A,Prebiotic Plausibility,10
Asparagine,4,A,Novelty of Reactions,9
Asparagine,4,A,Total,65
Asparagine,5,A,Chemical Feasibility,8
Asparagine,5,A,Pathway Coherence,9
Asparagine,5,A,Environmental Consistency,8
Asparagine,5,A,Mechanistic Detail,9
Asparagine,5,A,Network Completeness,9
Asparagine,5,A,Prebiotic Plausibility,9
Asparagine,5,A,Novelty of Reactions,9
Asparagine,5,A,Total,61
Aspartic Acid,1,A,Chemical Feasibility,9
Aspartic Acid,1,A,Pathway Coherence,10
Aspartic Acid,1,A,Environmental Consistency,9
Aspartic Acid,1,A,Mechanistic Detail,10
Aspartic Acid,1,A,Network Completeness,9
Aspartic Acid,1,A,Prebiotic Plausibility,10
Aspartic Acid,1,A,Novelty of Reactions,10
Aspartic Acid,1,A,Total,67
Aspartic Acid,2,A,Chemical Feasibility,9
Aspartic Acid,2,A,Pathway Coherence,9
Aspartic Acid,2,A,Environmental Consistency,8
Aspartic Acid,2,A,Mechanistic Detail,9
Aspartic Acid,2,A,Network Completeness,9
Aspartic Acid,2,A,Prebiotic Plausibility,9
Aspartic Acid,2,A,Novelty of Reactions,9
Aspartic Acid,2,A,Total,62
Aspartic Acid,3,A,Chemical Feasibility,10
Aspartic Acid,3,A,Pathway Coherence,9
Aspartic Acid,3,A,Environmental Consistency,7
Aspartic Acid,3,A,Mechanistic Detail,10
Aspartic Acid,3,A,Network Completeness,9
Aspartic Acid,3,A,Prebiotic Plausibility,10
Aspartic Acid,3,A,Novelty of Reactions,9
Aspartic Acid,3,A,Total,64
Aspartic Acid,4,A,Chemical Feasibility,9
Aspartic Acid,4,A,Pathway Coherence,9
Aspartic Acid,4,A,Environmental Consistency,9
Aspartic Acid,4,A,Mechanistic Detail,8
Aspartic Acid,4,A,Network Completeness,10
Aspartic Acid,4,A,Prebiotic Plausibility,9
Aspartic Acid,4,A,Novelty of Reactions,9
Aspartic Acid,4,A,Total,63
Aspartic Acid,5,A,Chemical Feasibility,10
Aspartic Acid,5,A,Pathway Coherence,9
Aspartic Acid,5,A,Environmental Consistency,10
Aspartic Acid,5,A,Mechanistic Detail,10
Aspartic Acid,5,A,Network Completeness,8
Aspartic Acid,5,A,Prebiotic Plausibility,10
Aspartic Acid,5,A,Novelty of Reactions,9
Aspartic Acid,5,A,Total,66
Cysteine,1,A,Chemical Feasibility,9
Cysteine,1,A,Pathway Coherence,8
Cysteine,1,A,Environmental Consistency,9
Cysteine,1,A,Mechanistic Detail,9
Cysteine,1,A,Network Completeness,7
Cysteine,1,A,Prebiotic Plausibility,9
Cysteine,1,A,Novelty of Reactions,9
Cysteine,1,A,Total,60
Cysteine,2,A,Chemical Feasibility,9
Cysteine,2,A,Pathway Coherence,10
Cysteine,2,A,Environmental Consistency,9
Cysteine,2,A,Mechanistic Detail,10
Cysteine,2,A,Network Completeness,10
Cysteine,2,A,Prebiotic Plausibility,10
Cysteine,2,A,Novelty of Reactions,10
Cysteine,2,A,Total,68
Cysteine,3,A,Chemical Feasibility,9
Cysteine,3,A,Pathway Coherence,8
Cysteine,3,A,Environmental Consistency,9
Cysteine,3,A,Mechanistic Detail,9
Cysteine,3,A,Network Completeness,6
Cysteine,3,A,Prebiotic Plausibility,9
Cysteine,3,A,Novelty of Reactions,9
Cysteine,3,A,Total,59
Cysteine,4,A,Chemical Feasibility,10
Cysteine,4,A,Pathway Coherence,10
Cysteine,4,A,Environmental Consistency,9
Cysteine,4,A,Mechanistic Detail,10
Cysteine,4,A,Network Completeness,10
Cysteine,4,A,Prebiotic Plausibility,10
Cysteine,4,A,Novelty of Reactions,9
Cysteine,4,A,Total,68
Cysteine,5,A,Chemical Feasibility,9
Cysteine,5,A,Pathway Coherence,9
Cysteine,5,A,Environmental Consistency,9
Cysteine,5,A,Mechanistic Detail,10
Cysteine,5,A,Network Completeness,9
Cysteine,5,A,Prebiotic Plausibility,10
Cysteine,5,A,Novelty of Reactions,9
Cysteine,5,A,Total,65
Glutamate,1,A,Chemical Feasibility,9
